ID,Section,Feature Name,Description (100 chars),Status,Complexity Estimate,Blocking Features
76,"Section 11","Tenants table and tenant_id on all tables","Multi-tenant schema with tenants table and tenant_id column on all 64 tables","FAILING","CRITICAL","All multi-tenant features"
77,"Section 11","Tenant data isolation via RLS","Two tenants coexist with complete data isolation enforced by RLS policies","FAILING","CRITICAL","All multi-tenant features"
78,"Section 11","Custom domain tenant resolution","Tenant resolved from custom domain or subdomain with Caddy on-demand TLS","FAILING","CRITICAL","All multi-tenant features"
79,"Section 11","Per-tenant branding and themes","Each tenant has independent theme; logo; branding; and legal pages","FAILING","CRITICAL","All multi-tenant features"
80,"Section 11","Stripe Connect billing per tenant","Each tenant has own Stripe connected account with platform application_fee","FAILING","CRITICAL","All multi-tenant features"
81,"Section 11","Tenant creation wizard","End-to-end wizard: name/slug → branding → Stripe Connect → Printify → plan selection","FAILING","CRITICAL","All multi-tenant features"
82,"Section 11","Plan feature gates enforced","Free/Starter/Pro plans gate features: product limits; API rate limits; custom domains","FAILING","CRITICAL","All multi-tenant features"
93,"Section 13","Return lifecycle functional","Complete return flow: customer requests → admin approves → customer ships → admin confirms → auto-re","FAILING","CRITICAL","All multi-tenant features"
115,"Section 6","PodClaw event queue in Redis","Event queue uses Redis LIST instead of in-memory queue to survive restarts","FAILING","CRITICAL","All multi-tenant features"
116,"Section 11","PII encryption at rest with pgsodium","Sensitive fields (email; name; address; phone) encrypted with pgsodium for Pro plan tenants","FAILING","CRITICAL","All multi-tenant features"
117,"Section 11","Data migration script (single to multi-tenant)","Idempotent script converts existing single-tenant data to first tenant with backfilled tenant_id","FAILING","CRITICAL","All multi-tenant features"
118,"Section 1","Admin MFA (TOTP-based)","Admin accounts support TOTP-based multi-factor authentication","FAILING","CRITICAL","All multi-tenant features"
119,"Section 0","INV-07 Agent singleton via Redis SET NX","Only one instance of a given agent can be 'running' at a time. Redis SET NX podclaw:running:{agent_n","FAILING","CRITICAL","All multi-tenant features"
120,"Section 0","INV-08 Audit completeness on admin mutations","Every admin mutation and webhook event has an audit record. withAuth() auto-logs to audit_log synchr","FAILING","CRITICAL","All multi-tenant features"
121,"Section 0","INV-09 PII boundary enforcement","PII (email; name; address; phone) never appears in logs; marketing content; or agent prompts. [DATA]","FAILING","CRITICAL","All multi-tenant features"
122,"Section 0","INV-10 Fail-closed security pattern","All security checks deny on error; never allow. Pattern: if (error) return reject; NOT continue. HMA","FAILING","CRITICAL","All multi-tenant features"
123,"Section 0","Order state machine enforces valid transitions only","Order status updates include WHERE status=:expected_current_status. Invalid transitions result in ro","FAILING","CRITICAL","All multi-tenant features"
124,"Section 0","Product state machine enforces valid transitions only","Product status changes follow defined matrix: draft→pending_review→publishing→active→archived→delete","FAILING","CRITICAL","All multi-tenant features"
125,"Section 0","ZombieReaper detects order zombie states","ZombieReaper cron detects specific order zombie states: pending>1h; paid>30min (retry); paid exhaust","FAILING","CRITICAL","All multi-tenant features"
126,"Section 0","ZombieReaper detects product and agent zombie states","ZombieReaper detects: product publishing>1h (revert to draft); pending_review>7d (alert); agent queu","FAILING","CRITICAL","All multi-tenant features"
127,"Section 0","ZombieReaper detects return and user zombie states","ZombieReaper detects: return_requested>7d (expire); return_approved>14d (expire); item_received>1h (","FAILING","CRITICAL","All multi-tenant features"
128,"Section 0","EscalationManager Python module exists","podclaw/reliability/escalation.py routes alerts to correct channels: L1=Telegram; L2=Telegram+email;","FAILING","CRITICAL","All multi-tenant features"
129,"Section 0","RetryManager Python module exists","podclaw/reliability/retry.py executes operations with exponential backoff + jitter. Formula: delay =","FAILING","CRITICAL","All multi-tenant features"
130,"Section 0","Cron runs table records all executions","Every cron execution is recorded in cron_runs with status; duration_ms; error_message. All 10 cron r","FAILING","CRITICAL","All multi-tenant features"
131,"Section 1","Admin middleware protects /api/* routes","admin/src/middleware.ts protects ALL /api/* routes except /api/auth/login and /api/health. Previousl","FAILING","CRITICAL","Section 11 features blocked"
132,"Section 1","Admin password minimum 12 characters","Admin login enforces minimum password length of 12 characters per spec Block A7.","FAILING","CRITICAL","Section 11 features blocked"
